elapsedTime,frq_rt, col_rt, frq_m, col_m, amp_rt, amp_m, total, framerate;
26831,823.5976,229.86252,791.3289,220.85149,5.0681298E-5,1.987274E-4,50,59.572403;
26849,823.5976,229.86252,791.50415,220.90044,1.254513E-4,1.9902679E-4,50,59.26335;
26870,823.5976,229.86252,791.6794,220.94936,1.1143193E-4,1.9946246E-4,50,59.686962;
26883,823.5976,229.86252,791.85455,220.99829,1.0402529E-4,1.9981487E-4,50,59.771145;
26900,823.5976,229.86252,792.0298,221.04721,8.306939E-5,2.0009927E-4,50,59.652626;
26921,823.5976,229.86252,792.20496,221.09613,8.699862E-5,2.0036174E-4,50,59.597206;
26931,823.5976,229.86252,792.3802,221.14507,6.6360444E-5,2.0056551E-4,50,59.67436;
26947,823.5976,229.86252,792.5554,221.194,7.0230104E-5,2.0073702E-4,50,59.94779;
26964,823.5976,229.86252,792.73065,221.24294,6.9504546E-5,2.0091396E-4,50,60.150356;
26979,823.5976,229.86252,792.9059,221.29187,3.799783E-5,2.0098258E-4,50,60.208603;
26994,823.5976,229.86252,793.0811,221.3408,4.1884396E-5,2.010062E-4,50,60.28423;
27011,823.5976,229.86252,793.25635,221.38972,4.1155665E-5,2.0102398E-4,50,60.468563;
27029,823.5976,229.86252,793.4315,221.43864,4.2101667E-5,2.0103974E-4,50,60.247314;
27045,823.5976,229.86252,793.60675,221.48758,4.3326516E-5,2.0106642E-4,50,60.439278;
27060,823.5976,229.86252,793.782,221.53651,4.3096858E-5,2.0109126E-4,50,60.649185;
27084,823.5976,229.86252,793.9572,221.58545,4.5630946E-5,2.0114034E-4,50,60.54626;
27092,823.5976,229.86252,794.13245,221.63438,4.5155804E-5,2.0118988E-4,50,60.871105;
27108,823.5976,229.86252,794.3077,221.68332,4.5244895E-5,2.0123247E-4,50,60.89328;
27136,823.5976,229.86252,794.4829,221.73225,4.6224588E-5,2.0127144E-4,50,61.036594;
27143,823.5976,229.86252,794.6581,221.78116,4.6040896E-5,2.0129979E-4,50,60.47464;
27159,823.5976,229.86252,794.8333,221.83011,4.498034E-5,2.0133087E-4,50,60.436653;
27176,823.5976,229.86252,795.00854,221.87903,4.874234E-5,2.0137234E-4,50,60.685005;
27192,823.5976,229.86252,795.1838,221.92798,4.8036964E-5,2.0142854E-4,50,60.60113;
27212,823.5976,229.86252,795.359,221.9769,3.9209368E-5,2.01464E-4,50,61.006767;
27225,823.5976,229.86252,795.53424,222.02582,4.0864543E-5,2.0146185E-4,50,60.719933;
27240,823.5976,229.86252,795.7095,222.07477,4.0554194E-5,2.0146307E-4,50,61.430454;
27257,823.5976,229.86252,795.88464,222.12367,4.987077E-5,2.0151236E-4,50,60.936443;
27275,823.5976,229.86252,796.0599,222.17262,1.05657455E-4,2.0175321E-4,50,60.981537;
27290,823.5976,229.86252,796.2351,222.22154,9.519745E-5,2.0210257E-4,50,61.30508;
27308,823.5976,229.86252,796.41034,222.2705,1.2076803E-4,2.0250888E-4,50,61.475872;
27327,823.5976,229.86252,796.5856,222.31941,1.4543594E-4,2.0304525E-4,50,60.44515;
27340,823.5976,229.86252,796.7608,222.36835,1.408107E-4,2.036129E-4,50,61.910732;
27356,823.5976,229.86252,796.93604,222.41728,1.028386E-4,2.0405583E-4,50,62.134514;
27372,823.5976,229.86252,797.1112,222.4662,1.09958375E-4,2.0444593E-4,50,62.065643;
27393,823.5976,229.86252,797.28644,222.51514,1.0862341E-4,2.0484657E-4,50,62.47521;
27404,823.5976,229.86252,797.4617,222.56407,9.6031574E-5,2.0519357E-4,50,62.640213;
27427,823.5976,229.86252,797.6369,222.613,9.839254E-5,2.0552782E-4,50,62.284847;
27441,823.5976,229.86252,797.81213,222.66194,1.2705404E-4,2.059299E-4,50,60.689735;
27457,823.5976,229.86252,797.98737,222.71086,2.0144176E-4,2.0665559E-4,50,60.205353;
27473,823.5976,229.86252,798.1626,222.7598,1.8749406E-4,2.0751999E-4,50,60.652462;
27489,823.5976,229.86252,798.33777,222.80872,1.9010925E-4,2.0835607E-4,50,60.868042;
27507,823.5976,229.86252,798.513,222.85765,1.9886807E-4,2.0923447E-4,50,60.08947;
27528,823.5976,229.86252,798.68823,222.90659,1.972258E-4,2.1011998E-4,50,61.049725;
27545,823.5976,229.86252,798.86346,222.95552,1.5547493E-4,2.1087048E-4,50,60.308784;
27563,823.5976,229.86252,799.0387,223.00446,1.994492E-4,2.1164888E-4,50,60.391422;
27574,823.5976,229.86252,799.2139,223.05338,1.9120403E-4,2.125171E-4,50,60.63147;
27590,823.5976,229.86252,799.38916,223.10233,2.5199557E-4,2.135684E-4,50,60.435875;
27608,828.0095,231.09456,799.5697,223.15274,2.7064187E-4,2.1480698E-4,50,60.93438;
27622,832.00714,231.80666,799.7603,222.8174,2.671457E-4,2.1608316E-4,50,60.974136;
27638,835.5952,231.8067,799.95996,221.91556,2.6780122E-4,2.1736223E-4,50,60.789993;
27656,835.5952,231.8067,800.16376,221.97212,2.250023E-4,2.1849542E-4,50,60.85329;
27672,835.5952,231.8067,800.36755,222.0287,2.330271E-4,2.1954223E-4,50,60.956184;
27690,835.5952,231.8067,800.57135,222.08525,1.6512132E-4,2.2040047E-4,50,60.68886;
27705,835.5952,231.8067,800.77515,222.14183,1.7785365E-4,2.2115294E-4,50,60.869534;
27722,835.5952,231.8067,800.97894,222.1984,2.4547955E-4,2.2215143E-4,50,61.16051;
27739,835.5952,231.8067,801.18274,222.25496,1.8860633E-4,2.231004E-4,50,61.064728;
27757,835.5952,231.8067,801.38654,222.31152,1.9927006E-4,2.239457E-4,50,61.04088;
27773,835.5952,231.8067,801.59033,222.3681,1.9727061E-4,2.2480976E-4,50,60.150864;
27789,835.5952,231.8067,801.7941,222.42467,2.8497507E-4,2.2595961E-4,50,62.617287;
27809,835.5952,231.8067,801.9979,222.48122,2.6853048E-4,2.2726262E-4,50,62.307236;
27824,835.5952,231.8067,802.20166,222.53778,1.8468311E-4,2.2823608E-4,50,62.133682;
27839,835.5952,231.8067,802.40546,222.59435,1.5573506E-4,2.2894029E-4,50,61.62029;
27854,835.5952,231.8067,802.60925,222.65091,1.6116282E-4,2.2961355E-4,50,61.693104;
27870,835.5952,231.8067,802.81305,222.70747,1.4129675E-4,2.3023672E-4,50,61.655144;
27889,835.5952,231.8067,803.01685,222.76405,1.4502164E-4,2.3081986E-4,50,61.654804;
27905,835.5952,231.8067,803.2206,222.82059,1.4432322E-4,2.3141938E-4,50,61.736225;
27922,835.5952,231.8067,803.4244,222.87717,1.5075345E-4,2.320357E-4,50,61.321327;
27936,835.5952,231.8067,803.6282,222.93373,1.4954776E-4,2.326531E-4,50,61.500404;
27956,835.5952,231.8067,803.8319,222.99028,1.6124448E-4,2.3327516E-4,50,61.110714;
27975,835.5952,231.8067,804.0357,223.04684,1.8188728E-4,2.3399782E-4,50,60.955334;
27989,835.5952,231.8067,804.2395,223.10342,1.7801677E-4,2.3477276E-4,50,60.919464;
28005,835.5952,231.8067,804.4433,223.15997,1.3794072E-4,2.3541646E-4,50,60.8181;
28025,835.5952,231.8067,804.6471,223.21654,1.2771759E-4,2.3591853E-4,50,60.701103;
28038,835.5952,231.8067,804.8509,223.27312,1.2963443E-4,2.3639685E-4,50,60.78314;
28058,835.5952,231.8067,805.0547,223.32968,1.2927502E-4,2.3689751E-4,50,60.72742;
28070,835.5952,231.8067,805.2585,223.38625,1.8272003E-4,2.3756E-4,50,60.716007;
28088,835.5952,231.8067,805.4623,223.44281,1.7269909E-4,2.3832892E-4,50,60.463737;
28106,845.3357,231.80684,805.6788,220.92632,4.567842E-4,2.3996609E-4,50,60.653088;
28119,850.4643,231.80692,805.91235,219.6571,4.7198386E-4,2.4232583E-4,50,60.406727;
28138,853.94763,231.80696,806.1562,218.8269,4.6913393E-4,2.4472683E-4,50,60.342983;
28159,854.76666,231.80696,806.40656,218.68504,5.559186E-4,2.47394E-4,50,60.28009;
28172,849.0238,230.2487,806.6512,218.75142,5.396465E-4,2.502151E-4,50,59.82152;
28188,836.71906,226.90996,806.8742,218.81194,5.426975E-4,2.5298668E-4,50,60.684998;
28204,832.51666,225.7697,807.0758,218.86664,5.255571E-4,2.5567313E-4,50,60.586422;
28223,816.2119,221.3456,807.25385,218.91495,5.775826E-4,2.585002E-4,50,60.20199;
28237,796.21906,215.9208,807.3889,218.9516,5.6782784E-4,2.6146587E-4,50,60.50717;
28253,803.88336,218.00041,807.4996,218.98163,6.5139774E-4,2.646743E-4,50,60.457623;
28274,822.85236,223.1474,807.65155,219.02286,4.2270008E-4,2.6736216E-4,50,60.092762;
28289,838.13574,227.29436,807.84436,219.07518,4.655809E-4,2.6965205E-4,50,60.245075;
28306,848.9024,230.21577,808.0682,219.1359,4.7034366E-4,2.720541E-4,50,60.31425;
28320,855.98096,231.80698,808.3132,218.89127,4.6945064E-4,2.7446047E-4,50,60.447716;
28338,859.369,231.80702,808.5706,218.09735,4.6961807E-4,2.7686637E-4,50,60.185303;
28355,859.77856,231.80702,808.832,218.06392,4.702108E-4,2.7926054E-4,50,60.132927;
28372,859.47144,231.72417,809.09314,218.13437,2.5034626E-4,2.8096288E-4,50,59.947033;
28388,858.75476,231.53085,809.353,218.20448,2.9157088E-4,2.8226388E-4,50,60.1718;
28402,858.75476,231.53085,809.612,218.27434,9.742545E-5,2.8304307E-4,50,60.378765;
28421,858.75476,231.53085,809.8709,218.34418,1.3382772E-4,2.8349174E-4,50,60.04627;
28436,858.75476,231.53085,810.1298,218.41402,1.2700229E-4,2.8401555E-4,50,60.380497;
28453,858.75476,231.53085,810.3888,218.48387,1.3066933E-4,2.8451867E-4,50,60.265106;
28471,858.75476,231.53085,810.6477,218.55373,9.512696E-5,2.8491905E-4,50,60.250526;
28489,858.75476,231.53085,810.9066,218.62357,1.1175896E-4,2.8529708E-4,50,59.99247;
28505,858.75476,231.53085,811.1655,218.6934,1.7696244E-4,2.858862E-4,50,60.086205;
28520,858.75476,231.53085,811.4245,218.76326,2.1284839E-4,2.867464E-4,50,59.91951;
28538,858.75476,231.53085,811.6834,218.8331,2.0611979E-4,2.8769067E-4,50,60.09503;
28556,858.75476,231.53085,811.9423,218.90294,3.105566E-4,2.8895965E-4,50,60.102787;
28572,858.75476,231.53085,812.2013,218.97281,2.9097468E-4,2.9040308E-4,50,60.200104;
28588,852.7119,229.90076,812.4541,219.04102,5.476984E-4,2.9262147E-4,50,60.17149;
28607,842.97144,227.27321,812.6882,219.10414,4.995627E-4,2.9530821E-4,50,59.973034;
28621,838.76904,226.13959,812.9046,219.16252,3.3130107E-4,2.973498E-4,50,59.957924;
28638,834.15717,224.89552,813.1106,219.2181,3.6285014E-4,2.9909037E-4,50,60.29099;
28655,829.13574,223.54095,813.30505,219.27055,3.5693467E-4,3.0088698E-4,50,60.25939;
28669,812.6286,219.08809,813.4749,219.31638,4.1881314E-4,3.0286174E-4,50,60.269913;
28689,806.16907,217.34558,813.61646,219.35455,3.306811E-4,3.0470066E-4,50,60.013565;
28708,799.3,215.49261,813.7421,219.38844,3.4720587E-4,3.0635393E-4,50,60.02974;
28721,792.0214,213.52917,813.85095,219.41782,4.250526E-4,3.0828465E-4,50,59.911133;
28736,812.19525,218.97118,813.96027,219.4473,9.5307134E-4,3.1210209E-4,50,60.14007;
28757,846.9024,228.3336,814.15076,219.49869,8.540678E-4,3.1686336E-4,50,59.93506;
28773,877.97144,231.80727,814.42145,215.01971,8.72631E-4,3.2146476E-4,50,60.202038;
28789,905.869,231.8076,814.7715,208.48447,0.0010654664,3.26713E-4,50,60.085484;
28804,941.9357,231.808,815.1587,200.59343,0.0010293098,3.32297E-4,50,60.25275;
28823,970.75,231.80829,815.66473,194.75768,0.0012447196,3.38471E-4,50,60.07895;
28838,992.45953,231.8085,816.1913,190.6187,8.7554776E-4,3.4397526E-4,50,60.128777;
28855,1031.3976,231.80888,816.8105,183.5587,9.447675E-4,3.4884075E-4,50,60.043465;
