elapsedTime,frq_rt, col_rt, frq_m, col_m, amp_rt, amp_m, total, framerate;
11990,253.416,231.78,28.192743,25.412563,0.00103665,0.35105658,50,13.787862;
12060,253.416,231.78,28.7958,25.965132,-7.828273E-5,0.3504753,50,13.812251;
12127,255.86467,231.78036,29.40124,26.265669,6.302062E-4,0.34954265,50,13.862203;
12194,275.74963,231.7831,30.031982,24.89978,0.0013365482,0.34743688,50,13.940793;
12264,281.67368,231.78384,30.694014,24.920984,8.2726317E-4,0.34519446,50,14.01409;
12338,281.67368,231.78384,31.363144,25.472496,-2.1838932E-5,0.34498337,50,13.854411;
12411,290.3762,231.78487,32.04408,25.25239,0.0012265667,0.34328562,50,13.9761095;
12503,292.2738,231.78508,32.736916,25.638512,8.874083E-4,0.34236908,50,13.871516;
12588,292.2738,231.78508,33.43068,26.189558,-2.4668E-5,0.34065357,50,13.604737;
12651,302.98096,231.78627,34.142277,25.807974,0.0016852045,0.33906296,50,13.469167;
12718,310.56668,231.78705,34.873924,25.723618,0.0013276776,0.33902824,50,13.789443;
12784,308.08572,229.93268,35.606716,26.271334,9.602736E-4,0.33865297,50,13.908695;
12859,308.08572,229.93268,36.338833,26.818546,1.043044E-4,0.33786172,50,13.991742;
12922,308.08572,229.93268,37.070965,27.36577,1.5040945E-4,0.33584777,50,13.953602;
12990,308.08572,229.93268,37.80416,27.91379,9.789944E-5,0.33428463,50,14.148063;
13066,308.08572,229.93268,38.536423,28.461111,1.3994498E-4,0.3342071,50,13.982301;
13134,317.27618,231.7877,39.287937,28.408262,0.0012606082,0.33384678,50,14.141169;
13199,322.9643,231.78824,40.056526,28.459677,0.0012279571,0.33249462,50,14.1900425;
13266,322.19763,231.23723,40.82022,29.008553,0.0016322051,0.33128002,50,14.322181;
13329,318.25238,228.40173,41.58005,29.55465,9.747172E-4,0.3312211,50,14.373074;
13393,316.81906,227.3716,42.335102,30.097311,1.9976604E-4,0.32893038,50,14.475107;
13456,316.81906,227.3716,43.089058,30.639187,8.982743E-5,0.32703048,50,14.623194;
13521,312.72382,224.4283,43.83715,31.176846,0.0014726813,0.32603577,50,14.774663;
13583,307.75714,220.8587,44.56729,31.701607,0.0011342505,0.32499847,50,14.8386345;
13645,307.75714,220.8587,45.298405,32.227066,-5.7554425E-5,0.32362056,50,14.999895;
13704,307.75714,220.8587,46.030132,32.752964,2.4601363E-4,0.32260302,50,15.070457;
13767,307.75714,220.8587,46.76187,33.278873,2.0938626E-4,0.32063043,50,15.269285;
13827,307.75714,220.8587,47.493202,33.804485,8.9284156E-5,0.3203359,50,15.337156;
13888,312.2143,224.0621,48.229145,34.333416,0.0016523742,0.31808886,50,15.482429;
