elapsedTime,eventRecognized_tap,eventRecognized_hold,frq_rt, col_rt, frq_m, col_m, amp_rt,orbitSpeed,amp_m,shape_m_value, framerate
1030677,0,0,4259.331,124.18613,3026.352,52.61253,0.0012471274,0.0017895745,0.0034505674,0.22066706,60.042343
1030695,0,0,4278.4023,124.43387,3027.8157,52.63874,0.0010592976,0.0016706567,0.0034519297,0.22075418,59.778984
1030713,0,0,4243.1787,123.97631,3029.125,52.66218,0.0012407504,0.001785537,0.0034534766,0.22085312,59.083908
1030731,0,0,4207.9546,123.51875,3030.3835,52.684715,0.0012067279,0.0017639969,0.0034557437,0.2209981,59.09249
1030748,0,0,4176.1406,123.1055,3031.4983,52.704678,9.1142574E-4,0.0015770368,0.0034560135,0.22101536,58.785316
1030763,0,0,4223.4883,123.720535,3032.5776,52.724003,9.479433E-4,0.0016001567,0.0034552,0.22096334,59.47077
1030780,0,0,4270.3477,124.32924,3033.8025,52.745934,9.410963E-4,0.0015958217,0.003454545,0.22092146,59.524185
1030795,0,0,4270.7334,124.33424,3035.1423,52.769924,0.0013670868,0.0018655225,0.0034559146,0.22100903,60.296932
1030812,0,0,4648.531,129.24179,3036.8225,52.800007,9.7024225E-4,0.0016142745,0.0034574375,0.22110642,60.211304
1030828,0,0,4980.162,133.54965,3039.1833,52.842278,0.0010446506,0.0016613833,0.0034584885,0.22117363,60.238903
1030844,0,0,4938.376,133.00684,3042.004,52.892776,9.84729E-4,0.0016234462,0.0034592387,0.22122161,60.801693
1030861,0,0,4945.7573,133.10272,3044.7268,52.941532,8.840591E-4,0.0015597106,0.0034603232,0.22129096,60.5438
1030877,0,0,4953.65,133.20526,3047.3604,52.988686,9.029347E-4,0.0015716611,0.003461904,0.22139205,60.666965
1030893,0,0,4953.65,133.20526,3050.0068,53.03607,9.738635E-4,0.0016165671,0.0034636282,0.22150233,60.71633
1030910,0,0,4953.65,133.20526,3052.5437,53.081493,9.6056436E-4,0.0016081473,0.0034655023,0.22162217,60.664696
1030927,0,0,4906.586,132.5939,3054.8557,53.12289,9.63058E-4,0.0016097259,0.0034669428,0.2217143,60.637856
1030943,0,0,4866.8,132.07707,3057.179,53.16449,0.0011279272,0.001714107,0.0034674138,0.22174442,60.385105
1030960,0,0,4874.181,132.17296,3059.4084,53.204407,0.0010970142,0.0016945356,0.0034675058,0.2217503,60.340023
1030979,0,0,4881.562,132.26884,3061.543,53.242626,0.0011028104,0.0016982052,0.0034695151,0.2218788,59.803326
1030996,0,0,4653.0454,129.30043,3063.416,53.27616,0.0013701902,0.0018674872,0.0034734767,0.22213215,59.407467
