elapsedTime,eventRecognized_tap,eventRecognized_hold,frq_rt, col_rt, frq_m, col_m, amp_rt,orbitSpeed,amp_m,shape_m_value, framerate
636210,0,0,7591.4126,167.46948,7591.4126,134.34984,0.068003,0.044053677,0.068003,4.3488564,60.09994
636227,0,0,7571.7407,167.21396,7571.7407,133.9976,0.06782468,0.04394078,0.06782468,4.337453,59.999924
636243,0,0,7563.988,167.11322,7563.988,133.85878,0.067754395,0.043896284,0.067754395,4.332958,60.18527
636260,0,0,7565.9673,167.13895,7565.9673,133.89423,0.06777234,0.043907642,0.06777234,4.3341055,60.07566
636277,0,0,7583.083,167.36128,7583.083,134.20068,0.067927495,0.044005875,0.067927495,4.344028,60.307934
636294,0,0,7607.6016,167.67978,7607.6016,134.63968,0.06814975,0.04414659,0.06814975,4.3582416,60.14456
636310,0,0,7637.61,168.06958,7637.61,135.17699,0.06842178,0.044318814,0.06842178,4.375638,60.007034
636328,0,0,7667.4355,168.457,7667.4355,135.71101,0.06869215,0.044489987,0.06869215,4.392928,59.863243
636344,0,0,7696.46,168.83405,7696.46,136.2307,0.06895526,0.044656567,0.06895526,4.4097548,59.91627
636361,0,0,7724.139,169.19357,7724.139,136.72629,0.06920617,0.04481542,0.06920617,4.4258003,59.828957
636377,0,0,7745.473,169.4707,7745.473,137.10828,0.069399565,0.044937864,0.069399565,4.4381685,60.466988
636394,0,0,7758.9673,169.646,7758.9673,137.3499,0.06952189,0.045015313,0.06952189,4.445991,60.159794
636412,0,0,7763.253,169.70166,7763.253,137.42662,0.06956074,0.045039907,0.06956074,4.4484754,59.61579
636429,0,0,7763.9155,169.71027,7763.9155,137.43849,0.06956674,0.045043707,0.06956674,4.448859,59.331703
636444,0,0,7765.208,169.72705,7765.208,137.46162,0.06957846,0.045051128,0.06957846,4.449609,59.939987
636461,0,0,7767.3765,169.75523,7767.3765,137.50046,0.069598116,0.04506357,0.069598116,4.4508657,60.125698
636477,0,0,7768.803,169.77377,7768.803,137.526,0.06961105,0.04507176,0.06961105,4.451693,60.358707
636493,0,0,7771.048,169.80292,7771.048,137.5662,0.0696314,0.04508464,0.0696314,4.4529943,60.433956
636510,0,0,7770.261,169.7927,7770.261,137.55211,0.06962427,0.045080125,0.06962427,4.452538,60.257206
636527,0,0,7766.4556,169.74327,7766.4556,137.48396,0.06958977,0.045058288,0.06958977,4.450332,60.05376
636545,0,0,7761.1265,169.67404,7761.1265,137.38855,0.06954146,0.0450277,0.06954146,4.4472427,59.875015
636562,0,0,7749.5947,169.52426,7749.5947,137.18208,0.06943692,0.044961516,0.06943692,4.4405575,59.80647
636579,0,0,7737.6787,169.36946,7737.6787,136.96872,0.069328904,0.044893127,0.069328904,4.4336495,59.439297
636595,0,0,7717.248,169.10406,7717.248,136.6029,0.069143705,0.044775873,0.069143705,4.421806,59.683594
636612,0,0,7690.3657,168.75487,7690.3657,136.12157,0.06890001,0.04462159,0.06890001,4.4062214,59.805836
636628,0,0,7661.4297,168.379,7661.4297,135.60347,0.06863771,0.04445552,0.06863771,4.3894467,59.915997
636644,0,0,7617.843,167.8128,7617.843,134.82306,0.06824259,0.044205364,0.06824259,4.3641787,60.062286
636660,0,0,7571.974,167.21698,7571.974,134.00179,0.06782679,0.04394212,0.06782679,4.337588,60.518185
636678,0,0,7511.815,166.43552,7511.815,132.92464,0.06728144,0.04359685,0.06728144,4.302712,60.37028
636693,0,0,7443.094,165.54285,7443.094,131.69418,0.06665849,0.04320245,0.06665849,4.2628736,60.511806
636710,0,0,7377.6685,164.69296,7377.6685,130.52274,0.0660654,0.042826958,0.0660654,4.224945,60.298817
636727,0,0,7305.0923,163.75021,7305.0923,129.22327,0.0654075,0.04241043,0.0654075,4.182872,60.163914
636743,0,0,7246.2334,162.98564,7246.2334,128.1694,0.064873934,0.042072624,0.064873934,4.14875,60.489113
636761,0,0,7185.847,162.20123,7185.847,127.08819,0.06432654,0.04172606,0.06432654,4.113744,60.11721
636776,0,0,7130.212,161.47855,7130.212,126.09204,0.063822195,0.04140675,0.063822195,4.0814905,60.517548
636794,0,0,7095.6396,161.02945,7095.6396,125.47302,0.0635088,0.041208334,0.0635088,4.061448,60.21639
636810,0,0,7063.835,160.6163,7063.835,124.903564,0.063220486,0.041025802,0.063220486,4.0430107,60.04985
636826,0,0,7057.316,160.53163,7057.316,124.78684,0.063161395,0.04098839,0.063161395,4.0392313,60.542027
636843,0,0,7051.4873,160.4559,7051.4873,124.68247,0.06310856,0.04095494,0.06310856,4.035853,60.42656
636860,0,0,7039.6597,160.30228,7039.6597,124.4707,0.06300134,0.040887058,0.06300134,4.028996,60.13363
636877,0,0,7040.454,160.31259,7040.454,124.48493,0.06300854,0.040891614,0.06300854,4.029456,60.312836
636893,0,0,7027.6875,160.14676,7027.6875,124.25634,0.06289281,0.04081834,0.06289281,4.022055,60.43127
636910,0,0,7028.11,160.15225,7028.11,124.2639,0.06289664,0.040820766,0.06289664,4.0223,60.228523
636926,0,0,7020.831,160.0577,7020.831,124.133575,0.06283066,0.040778995,0.06283066,4.0180807,60.42135
636943,0,0,7007.4995,159.88452,7007.4995,123.894875,0.06270981,0.04070248,0.06270981,4.010352,60.307446
636960,0,0,7009.988,159.91684,7009.988,123.93943,0.06273237,0.040716764,0.06273237,4.0117946,60.024426
